Document No.,Report Date,Journal,Account,Exp. Date,As of: 11/18/2022,1 - 30,31 - 60,61 - 90,91 - 120,Older,Total,Customer Name,Amount
LS11797,08/01/2022,SS,Accounts Receivable (A/R),,,,,,386.72,,,21st Century Cleaners,386.72
LS11673,08/06/2022,SS,Accounts Receivable (A/R),,,,,,406.0,,,21st Century Cleaners,406.0
LS11935,09/01/2022,SS,Accounts Receivable (A/R),,,,,386.72,,,,21st Century Cleaners,386.72
LS12080,10/03/2022,SS,Accounts Receivable (A/R),,,,386.72,,,,,21st Century Cleaners,386.72
LS12228,11/01/2022,SS,Accounts Receivable (A/R),,,386.72,,,,,,21st Century Cleaners,386.72
LS12253,11/08/2022,SS,Accounts Receivable (A/R),,,6252.81,,,,,,A&A WASH SYSTEMS,6252.81
LS11511,06/23/2022,SS,Accounts Receivable (A/R),,,,,,,1431.14,,ABEL'S COIN LAUNDRY,1431.14
INV/2020/12/0024,12/07/2020,INV,Accounts Receivable (A/R),,,,,,,45.15,,ADAMS COUNTY SHERIFF DEPARTMENT #ACS001,45.15
LS11991,10/13/2022,SS,Accounts Receivable (A/R),,,,414.5,,,,,ADAMS COUNTY SHERIFF DEPARTMENT #ACS001,414.5
LS12168,11/23/2022,SS,Accounts Receivable (A/R),,348.5,,,,,,,ALEXANDER JR HIGH SCHOOL,348.5
LS11664,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,410.3,,ALLENS CREEK Resort,410.3
LS11794,08/16/2022,SS,Accounts Receivable (A/R),,,,,,410.3,,,ALLENS CREEK Resort,410.3
LS11932,09/16/2022,SS,Accounts Receivable (A/R),,,,,410.3,,,,ALLENS CREEK Resort,410.3
LS12077,10/18/2022,SS,Accounts Receivable (A/R),,,,410.3,,,,,ALLENS CREEK Resort,410.3
LS12225,11/16/2022,SS,Accounts Receivable (A/R),,,410.3,,,,,,ALLENS CREEK Resort,410.3
LS12064,11/02/2022,SS,Accounts Receivable (A/R),,,1074.42,,,,,,AMERICAN CRUISE LINES,1074.42
LS12109,11/09/2022,SS,Accounts Receivable (A/R),,,1762.29,,,,,,AMERICAN CRUISE LINES,1762.29
RSS/2020/09/0001,09/11/2020,SS,Accounts Receivable (A/R),,,,,,,-39.78,,AMERICAS BEST VALUE INN GRENADA,-39.78
INV/2020/03/0018|LS8043,09/26/2022,INV,Accounts Receivable (A/R),,,,-333.22,,,,,AMERICAS BEST VALUE INN GRENADA,-333.22
LS11813,09/07/2022,SS,Accounts Receivable (A/R),,,,,338.12,,,,AMERICAS BEST VALUE INN-FOREST,338.12
INV/2020/11/0068,11/05/2020,INV,Accounts Receivable (A/R),,,,,,,142.1,,ANDERSON QUALITY CLEANERS,142.1
LS12206,10/31/2022,SS,Accounts Receivable (A/R),,,268.98,,,,,,ANDERSON QUALITY CLEANERS,268.98
INV/2020/05/0065,05/19/2020,INV,Accounts Receivable (A/R),,,,,,,614.41,,ANIMAL RESCUE FUND OF MS INC,614.41
INV/2020/05/0075,05/20/2020,INV,Accounts Receivable (A/R),,,,,,,518.44,,ANIMAL RESCUE FUND OF MS INC,518.44
LS9306-1,01/22/2021,SS,Accounts Receivable (A/R),,,,,,,167.97,,APPLIANCES ETC.,167.97
LS12266,12/10/2022,SS,Accounts Receivable (A/R),,765.05,,,,,,,ASI MANAGEMENT - TISHOMINGO MANOR,765.05
LS11416,09/21/2022,SS,Accounts Receivable (A/R),,,,-125.32,,,,,ASI MGT - THE MYRTLES NURSING CENTER - Columbia,-125.32
