new_value,old_value
LSOC000001,2311
LSOC000002,1491
LSOC000003,2347
LSOC000004,3069
LSOC000005,1723
LSOC000006,10440
LSOC000007,2705
LSOC000008,2091
LSOC000009,2408
LSOC000010,1823
LSOC000011,2416
LSOC000012,9586
LSOC000013,2892
LSOC000014,2835
LSOC000015,2899
LSOC000016,2265
LSOC000017,2470
LSOC000018,2471
LSOC000019,2077
LSOC000020,2236
LSOC000021,9147
LSOC000022,9594
LSOC000023,2743
LSOC000024,1808
LSOC000025,2731
LSOC000026,1
LSOC000027,1466
LSOC000028,2063
LSOC000029,2645
LSOC000030,9201
LSOC000031,9202
LSOC000032,2591
LSOC000033,2913
LSOC000034,1457
LSOC000035,2214
LSOC000036,2898
LSOC000037,10418
LSOC000038,2319
LSOC000039,1611
LSOC000040,1341
LSOC000041,2864
LSOC000042,2044
LSOC000043,3707
LSOC000044,1664
LSOC000045,2575
LSOC000046,3100
LSOC000047,1365
LSOC000048,2769
LSOC000049,2365
LSOC000050,9535
LSOC000051,2808
LSOC000052,2608
LSOC000053,1523
LSOC000054,9703
LSOC000055,2127
LSOC000056,1850
LSOC000057,2357
LSOC000058,1360
LSOC000059,2489
LSOC000060,1797
LSOC000061,2064
LSOC000062,2126
LSOC000063,2762
LSOC000064,2791
LSOC000065,2245
LSOC000066,1631
LSOC000067,1403
LSOC000068,1558
LSOC000069,2136
LSOC000070,1843
LSOC000071,1395
LSOC000072,2176
LSOC000073,2201
LSOC000074,1874
LSOC000075,2398
LSOC000076,1443
LSOC000077,2421
LSOC000078,1368
LSOC000079,2184
LSOC000080,1625
LSOC000081,1373
LSOC000082,2366
LSOC000083,3000
LSOC000084,2786
LSOC000085,2607
LSOC000086,2611
LSOC000087,2879
LSOC000088,2627
LSOC000089,1715
LSOC000090,2635
LSOC000091,2238
LSOC000092,2043
LSOC000093,10193
LSOC000094,10225
LSOC000095,1976
LSOC000096,1977
LSOC000097,2280
LSOC000098,2797
LSOC000099,1702
LSOC000100,2232
LSOC000101,2650
LSOC000102,9174
LSOC000103,18
LSOC000104,19
LSOC000105,10458
LSOC000106,10537
LSOC000107,10538
LSOC000108,9580
LSOC000109,10513
LSOC000110,10091
LSOC000111,9680
LSOC000112,2304
LSOC000113,9519
LSOC000114,9821
