new_value,old_value
LSO-50000,1
LSO-50001,18
LSO-50002,19
LSO-50003,3005
LSO-50004,12
LSO-50005,43
LSO-50006,113
LSO-50007,127
LSO-50008,193
LSO-50009,196
LSO-50010,217
LSO-50011,222
LSO-50012,265
LSO-50013,297
LSO-50014,302
LSO-50015,342
LSO-50016,438
LSO-50017,440
LSO-50018,450
LSO-50019,462
LSO-50020,472
LSO-50021,481
LSO-50022,498
LSO-50023,508
LSO-50024,513
LSO-50025,523
LSO-50026,538
LSO-50027,570
LSO-50028,584
LSO-50029,598
LSO-50030,635
LSO-50031,637
LSO-50032,674
LSO-50033,690
LSO-50034,729
LSO-50035,808
LSO-50036,839
LSO-50037,861
LSO-50038,880
LSO-50039,885
LSO-50040,937
LSO-50041,941
LSO-50042,952
LSO-50043,966
LSO-50044,967
LSO-50045,979
LSO-50046,990
LSO-50047,1045
LSO-50048,1047
LSO-50049,1059
LSO-50050,1094
LSO-50051,1113
LSO-50052,1175
LSO-50053,1211
LSO-50054,1269
LSO-50055,1272
LSO-50056,1274
LSO-50057,1322
LSO-50058,1323
LSO-50059,1324
LSO-50060,1325
LSO-50061,1326
LSO-50062,1327
LSO-50063,1328
LSO-50064,1329
LSO-50065,1330
LSO-50066,1331
LSO-50067,1332
LSO-50068,1333
LSO-50069,1334
LSO-50070,1335
LSO-50071,1336
LSO-50072,1337
LSO-50073,1338
LSO-50074,1339
LSO-50075,1340
LSO-50076,1341
LSO-50077,1342
LSO-50078,1343
LSO-50079,1344
LSO-50080,1345
LSO-50081,1346
LSO-50082,1347
LSO-50083,1348
LSO-50084,1349
LSO-50085,1350
LSO-50086,1351
LSO-50087,1352
LSO-50088,1353
LSO-50089,1354
LSO-50090,1355
LSO-50091,1356
LSO-50092,1357
LSO-50093,1358
LSO-50094,1359
LSO-50095,1360
LSO-50096,1361
LSO-50097,1362
LSO-50098,1363
LSO-50099,1364
LSO-50100,1365
LSO-50101,1366
LSO-50102,1367
LSO-50103,1368
LSO-50104,1369
LSO-50105,1370
LSO-50106,1371
LSO-50107,1372
LSO-50108,1373
LSO-50109,1374
LSO-50110,1375
LSO-50111,1376
LSO-50112,1377
LSO-50113,1378
LSO-50114,1379
LSO-50115,1380
LSO-50116,1381
LSO-50117,1382
LSO-50118,1383
LSO-50119,1384
LSO-50120,1385
LSO-50121,1386
LSO-50122,1387
LSO-50123,1388
LSO-50124,1389
LSO-50125,1390
LSO-50126,1391
LSO-50127,1392
LSO-50128,1393
LSO-50129,1394
LSO-50130,1395
LSO-50131,1396
LSO-50132,1397
LSO-50133,1399
LSO-50134,1400
LSO-50135,1401
LSO-50136,1402
LSO-50137,1403
LSO-50138,1404
LSO-50139,1405
LSO-50140,1406
LSO-50141,1407
LSO-50142,1408
LSO-50143,1409
LSO-50144,1410
LSO-50145,1411
LSO-50146,1412
LSO-50147,1413
LSO-50148,1414
LSO-50149,1415
LSO-50150,1416
LSO-50151,1417
LSO-50152,1418
LSO-50153,1419
LSO-50154,1421
LSO-50155,1422
LSO-50156,1423
LSO-50157,1424
LSO-50158,1425
LSO-50159,1426
LSO-50160,1427
LSO-50161,1428
LSO-50162,1429
LSO-50163,1430
LSO-50164,1431
LSO-50165,1432
LSO-50166,1434
LSO-50167,1436
LSO-50168,1437
LSO-50169,1438
LSO-50170,1439
LSO-50171,1440
LSO-50172,1441
LSO-50173,1442
LSO-50174,1443
LSO-50175,1444
LSO-50176,1445
LSO-50177,1446
LSO-50178,1447
LSO-50179,1448
LSO-50180,1449
LSO-50181,1450
LSO-50182,1451
LSO-50183,1454
LSO-50184,1455
LSO-50185,1456
LSO-50186,1457
LSO-50187,1458
LSO-50188,1459
LSO-50189,1460
LSO-50190,1461
LSO-50191,1462
LSO-50192,1463
LSO-50193,1464
LSO-50194,1465
LSO-50195,1466
LSO-50196,1467
LSO-50197,1468
LSO-50198,1469
LSO-50199,1470
LSO-50200,1471
LSO-50201,1472
LSO-50202,1473
LSO-50203,1474
LSO-50204,1475
LSO-50205,1476
LSO-50206,1478
LSO-50207,1479
LSO-50208,1480
LSO-50209,1481
LSO-50210,1482
LSO-50211,1483
LSO-50212,1484
LSO-50213,1485
LSO-50214,1486
LSO-50215,1487
LSO-50216,1488
LSO-50217,1489
LSO-50218,1490
LSO-50219,1491
LSO-50220,1492
LSO-50221,1493
LSO-50222,1494
LSO-50223,1495
LSO-50224,1496
LSO-50225,1497
