new_value,old_value
LSOC000001,2311
LSOC000002,1491
LSOC000003,2347
LSOC000004,3069
LSOC000005,1723
LSOC000006,10440
LSOC000007,2705
LSOC000008,2091
LSOC000009,2408
LSOC000010,1823
LSOC000011,2416
LSOC000012,9586
LSOC000013,2892
LSOC000014,2835
LSOC000015,2899
LSOC000016,2265
LSOC000017,2470
LSOC000018,2471
LSOC000019,2077
LSOC000020,2236
LSOC000021,9147
LSOC000022,9594
LSOC000023,2743
LSOC000024,1808
LSOC000025,2731
LSOC000026,1466
LSOC000027,2063
LSOC000028,2645
LSOC000029,9201
LSOC000030,9202
LSOC000031,2591
LSOC000032,2913
LSOC000033,1457
LSOC000034,2214
LSOC000035,2898
LSOC000036,10418
LSOC000037,2319
LSOC000038,1611
LSOC000039,1341
LSOC000040,2864
LSOC000041,2044
LSOC000042,3707
LSOC000043,1664
LSOC000044,2575
LSOC000045,3100
LSOC000046,1365
LSOC000047,2769
LSOC000048,2365
LSOC000049,9535
LSOC000050,2808
LSOC000051,2608
LSOC000052,1523
LSOC000053,9703
LSOC000054,2127
LSOC000055,1850
LSOC000056,2357
LSOC000057,1360
LSOC000058,2489
LSOC000059,1797
LSOC000060,2064
LSOC000061,2126
LSOC000062,2762
LSOC000063,2791
LSOC000064,2245
LSOC000065,1631
LSOC000066,1403
LSOC000067,1558
LSOC000068,2136
LSOC000069,1843
LSOC000070,1395
LSOC000071,2176
LSOC000072,2201
LSOC000073,1874
LSOC000074,2398
LSOC000075,1443
LSOC000076,2421
LSOC000077,1368
LSOC000078,2184
LSOC000079,1625
LSOC000080,1373
LSOC000081,2366
LSOC000082,3000
LSOC000083,2786
LSOC000084,2607
LSOC000085,2611
LSOC000086,2879
LSOC000087,2627
LSOC000088,1715
LSOC000089,2635
LSOC000090,2238
LSOC000091,2043
LSOC000092,10193
LSOC000093,10225
LSOC000094,1976
LSOC000095,1977
LSOC000096,2280
LSOC000097,2797
LSOC000098,1702
LSOC000099,2232
LSOC000100,2650
LSOC000101,9174
LSOC000102,18
LSOC000103,19
LSOC000104,10458
LSOC000105,10537
LSOC000106,10538
LSOC000107,9580
LSOC000108,10513
LSOC000109,10091
LSOC000110,9680
LSOC000111,2304
LSOC000112,9519
LSOC000113,9821
LSOC000114,9701
