old_value,new_value,in_bc
1,'Hourly Labor',False
102881,'AD-WFR500302',False
103594,'AD-WFR130106',False
108994,'W10461196',True
112236,'A102407',True
112560,'AD-WFR500159',False
113152,'WFR500086',True
115374,'WFR500601',True
124007,'WS-0020600100',False
124090,'M70072801',True
126952,'W487006820',True
127106,'WS-00096438',False
128642,'WS-487169708',False
128861,'W487153504',True
128862,'W487006828',True
128878,'W10117474',True
128879,'W10112927',True
128881,'TR-200 14X16X5',False
128889,'HC-60 4"X1',False
128891,'C-5001-RR',False
128896,'TD-LK',False
128897,'DO-19069940',False
128898,'BFWS/DLU4- 6"-1 u.',False
128899,'W11101012',True
128903,'kiosoft reader',False
128904,'Kiosoft MAY stack h',False
128905,'kiosoft cell modem',False
128907,'DLU-60 HW TOUCH II',True
128908,'dlu 60 4" 19095678',False
128915,'WP8577274',True
128916,'800FD-MT44X07 ESTOP',False
128919,'GV0779 REDUCER',False
128920,'XSB30001Q',False
128921,'LG383EER3001J',True
128922,'BLXAJ0002',False
128923,'MX7G180M',False
128924,'VKK15SS',False
128926,'AP1X VALVE',False
128927,'APK11-25A',False
128928,'SH2LC1140',False
128929,'WPW10185982',True
128930,'P140-001',True
128931,'M12A-001',True
128932,'S12A-008',True
128933,'T150-002',True
128934,'P140-005',False
128935,'M12A-002',False
128937,'T140-010',False
128938,'A100604',True
128939,'WS-112559',False
128945,'W10166385',True
128946,'C-0906',True
128947,'9732-015-001',False
34031,'Serv. charge - Z 1',False
34032,'Serv. charge - Z 2',False
34033,'Serv. charge - Z 3',False
34034,'Serv. charge - Z 4',False
34035,'Serv. charge - Z 5',False
34036,'Gas surcharge - Z 1',False
34037,'Gas surcharge - Z 2',False
34038,'Gas surcharge - Z 3',False
34039,'Gas surcharge - Z 4',False
34040,'Gas surcharge - Z 5',False
34041,'Motor replac labor',False
34042,'Bearing repl. labor',False
34043,'Delivery/install',False
34044,'Forklift rental',False
44822,'112',False
45248,'1300973',False
45716,'M200923',True
45723,'M200996P',True
45810,'M201402P',True
45839,'M201566P',True
45995,'M202395P',True
46285,'M203603',True
46354,'203950',False
46458,'204253',False
46496,'M204486',True
46770,'2090005111',False
46772,'2090005200',False
47162,'210018P',False
47442,'2230008600',False
48143,'M26509Z',True
48147,'M27015Z',True
48206,'27202P',False
48207,'M27220Z',True
48270,'27926',False
48295,'M28944RZ',True
48421,'M33930Z',True
48484,'M35369Z',True
48498,'M35535Z',True
48652,'M38008Z',True
48676,'M38174Z',True
48742,'M38505PZ',True
48873,'M39508P',True
48902,'M39897Z',True
48983,'M430648Z',True
49028,'M431347Z',True
49129,'44008401P',False
49138,'M44011601',True
49360,'M44045801PZ',True
49364,'M44046201PZ',True
49484,'M44061603',True
49493,'M44063601',True
49496,'44063801P',False
49500,'M44064701',True
49673,'M400954Z',True
49752,'M44127401P',True
49833,'M44137201P',True
49895,'M44154501',True
50162,'M44239701',True
50165,'M44239704',True
50186,'M44242501P',True
50209,'44245201',True
50211,'44245501',True
50212,'44245502',True
50292,'M44264601',True
50293,'M44264701',True
50300,'M44266703',True
50712,'M44328701P',True
50767,'44333903',True
51211,'M54612',True
51255,'M55438Z',True
51325,'M55882Z',True
51439,'M56156Z',True
52003,'M58804AZ',True
52004,'58804B',False
52235,'70050401P',False
52303,'M7009P',True
52507,'M70155601Z',True
52509,'U190805-1Z',True
52642,'M70210901Z',True
52653,'M70211901P',True
52654,'70211902P',False
52692,'70228401P',False
52875,'70276201P',False
52876,'70276202P',False
52878,'70276204P',False
52975,'70302201P',False
53089,'M70337601P',True
53092,'M70337901P',True
53187,'70359801P',False
53270,'M70375701W',True
53474,'M70413301',True
53475,'M70413401',True
53610,'U70441601P',True
53642,'M70448701',True
53692,'70454601',False
53693,'M70455101',True
53701,'M70458601',True
53705,'M70461301',True
53813,'70482601',False
53817,'M70482901',True
53891,'70500601',False
54394,'M70564803',True
54399,'M70564808',True
54609,'M70616701',True
54719,'M766P3Z',True
54782,'M800319Z',True
55106,'M802307',True
55224,'803118P',False
55257,'803293',True
55289,'803527P',True
57193,'C001196',False
57763,'M510139Z',True
57780,'D510184P',False
57790,'M510213',True
57904,'M510708PZ',True
57937,'M511255Z',True
58011,'D511629P',False
58108,'M512202P',True
58110,'M512218P',True
58960,'U0150488-00',True
58982,'U020014200',True
59003,'U0231582-01P',True
59071,'U0280385-00',True
59075,'U0300131-00P',True
59088,'U0340346-10P',True
59109,'U0370446-21P',True
59112,'U037044860-2',True
59153,'U0381738-00Z',True
59156,'U0381765-00',True
59447,'U110110Z',True
59477,'F140218P',False
59484,'U140248P',True
59532,'U140738',True
59535,'U140747',True
59581,'U150201Z',True
59582,'U150202',True
59583,'U150203Z',True
59584,'U150204Z',True
59594,'U150261Z',True
59599,'U150271Z',True
59617,'U150352Z',True
59630,'U150390Z',True
59632,'U150392Z',True
59633,'U150393Z',True
59649,'U150419',True
59659,'U150469Z',True
59661,'U150478Z',True
59672,'U160301Z',True
59685,'U160562Z',True
59706,'U170124Z',True
59714,'U170145Z',True
59725,'U170200Z',True
59780,'U190216Z',True
60072,'U200164Z',True
60087,'U200166300',True
60088,'M200166302Z',True
60181,'U200202201',True
60202,'U200213',True
60223,'U200233500P',True
60270,'U200318900P',True
60361,'U230724Z',True
60544,'U280304Z',True
60546,'U280306Z',True
60548,'U280309Z',True
60553,'U280321',True
60554,'U280327',True
60560,'U280337Z',True
60563,'U280341Z',True
60564,'U280342Z',True
60569,'U280351Z',True
60571,'U280353Z',True
60573,'U280355Z',True
60586,'U280373',True
60626,'U300118Z',True
60628,'U300124Z',True
60632,'U300128',True
60633,'CG300129',True
60643,'U310124Z',True
60680,'U330175Z',True
60682,'U330177Z',True
60683,'U330178Z',True
60687,'F330185P',False
60688,'U330186Z',True
60702,'U330230Z',True
60724,'U340002Z',True
60727,'U340200Z',True
60728,'U340308',True
60734,'U340316Z',True
60735,'U340317P',True
60737,'F340321P',False
60741,'U340403Z',True
60744,'U340411Z',True
60745,'U200120100',True
60769,'U340800P',True
60770,'U340900Z',True
60772,'U340906Z',True
60806,'U350210Z',True
60809,'U350218Z',True
60876,'U370446-1PZ',True
60884,'U370534-20',True
60944,'U380700Z',True
60946,'U380702',True
60950,'F380715P',False
60975,'U380914Z',True
