old_value,new_value
"WHIRLPOOL","ZZN"
"Whirlpool","ZZN"
"WHIRLPOOL / MAYTAG / ADC","ZZN"
"ADC","ADC"
"ALLIANCE","ALL"
"B&C","BNC"
"CACO","CAC"
"CARD CONCEPTS","CAR"
"CONTINENTAL","CGI"
"DEXTER","DEX"
"GE","GEC"
"GREENWALD","GRE"
"HIGH MARK","HIG"
"HUEBSCH","HUE"
"Machine Bases Unlimited","MAC"
"MAYTAG","MAY"
"MILNOR","MLN"
"MONARCH","MON"
"R&B","RNB"
"STANDARD CHANGE","STA"
"UNIMAC","UNI"
"WASCOMAT","WAS"
"Whirlpool / Maytag / ADC","WHI"
"ADC/Whirlpool Front Panel","WHI"
"FASCARD","FAS"
"CCI","CCI"
"PARKER","PAR"
"YAMAMOTO","YAM"
"CRESCENT","CRE"
"SUPCO","SUP"
