new_value,old_value
LSO-60000,1
LSO-60001,18
LSO-60002,19
LSO-60003,1248
LSO-60004,1277
LSO-60005,3005
LSO-60006,10531
LSO-60007,12
LSO-60008,16
LSO-60009,17
LSO-60010,21
LSO-60011,24
LSO-60012,26
LSO-60013,27
LSO-60014,29
LSO-60015,30
LSO-60016,34
LSO-60017,36
LSO-60018,38
LSO-60019,40
LSO-60020,41
LSO-60021,43
LSO-60022,47
LSO-60023,49
LSO-60024,55
LSO-60025,65
LSO-60026,88
LSO-60027,150
LSO-60028,152
LSO-60029,153
LSO-60030,178
LSO-60031,180
LSO-60032,187
LSO-60033,193
LSO-60034,247
LSO-60035,256
LSO-60036,257
LSO-60037,261
LSO-60038,297
LSO-60039,334
LSO-60040,346
LSO-60041,347
LSO-60042,407
LSO-60043,462
LSO-60044,480
LSO-60045,514
LSO-60046,591
LSO-60047,595
LSO-60048,614
LSO-60049,649
LSO-60050,775
LSO-60051,797
LSO-60052,830
LSO-60053,848
LSO-60054,854
LSO-60055,1006
LSO-60056,1016
LSO-60057,1081
LSO-60058,1082
LSO-60059,1083
LSO-60060,1178
LSO-60061,1209
LSO-60062,1218
LSO-60063,1252
LSO-60064,1290
LSO-60065,1305
LSO-60066,1350
LSO-60067,1531
LSO-60068,1600
LSO-60069,1604
LSO-60070,1666
LSO-60071,1817
LSO-60072,1851
LSO-60073,1919
LSO-60074,2161
LSO-60075,2457
LSO-60076,2572
LSO-60077,3217
LSO-60078,3222
LSO-60079,3664
LSO-60080,8987
LSO-60081,9129
LSO-60082,9161
LSO-60083,9177
LSO-60084,9251
LSO-60085,9252
LSO-60086,9256
LSO-60087,9257
LSO-60088,9268
LSO-60089,9278
LSO-60090,9292
LSO-60091,9297
LSO-60092,9302
LSO-60093,9304
LSO-60094,9344
LSO-60095,9345
LSO-60096,9357
LSO-60097,9392
LSO-60098,9503
LSO-60099,9527
LSO-60100,9581
LSO-60101,9582
LSO-60102,9588
LSO-60103,9636
LSO-60104,9706
LSO-60105,9707
LSO-60106,9708
LSO-60107,9768
LSO-60108,9797
LSO-60109,9820
LSO-60110,9903
LSO-60111,9931
LSO-60112,9962
LSO-60113,9963
LSO-60114,9994
LSO-60115,10024
LSO-60116,10039
LSO-60117,10115
LSO-60118,10134
LSO-60119,10215
LSO-60120,10252
LSO-60121,10274
LSO-60122,10364
LSO-60123,10365
LSO-60124,10412
LSO-60125,10413
LSO-60126,10414
LSO-60127,10468
LSO-60128,10470
LSO-60129,10487
LSO-60130,10504
LSO-60131,10516
LSO-60132,10532
LSO-60133,10547
LSO-60134,10548
LSO-60135,10558
LSO-60136,10582
LSO-60137,10592
LSO-60138,10617
LSO-60139,10630
LSO-60140,10732
LSO-60141,10745
